X,Y,SA2011,SOA2011,X_COORD,Y_COORD,Hectares,LGD2014NAME,2015 Default Urban/Rural,SOA2001_name,"Multiple Deprivation Measure Rank 
(where 1 is most deprived)","Income Domain Rank 
(where 1 is most deprived)",Employment Domain Rank (where 1 is most deprived),Health Deprivation and Disability Domain Rank (where 1 is most deprived),"Education, Skills and Training Domain Rank (where 1 is most deprived)",Access to Services Domain Rank (where 1 is most deprived),Living Environment Domain Rank (where 1 is most deprived),Crime and Disorder Domain Rank (where 1 is most deprived),IMDdeciles
-5.65910279014766,54.6407462665998,N00004168,95XX06S2,351179,379472,6.54972,Ards and North Down,Urban,Bloomfield_2,109,140,185,105,524,2651,2803,490,"1"
-5.69371859535245,54.6490181445119,N00004197,95XX10S1,348914,380319,3.92428,Ards and North Down,Urban,Clandeboye_1,139,20,495,451,643,2880,1086,360,"1"
-5.69626871957124,54.6477646304822,N00004198,95XX10S1,348754,380174,3.53534,Ards and North Down,Urban,Clandeboye_1,95,10,630,412,164,2232,879,947,"1"
-5.6675500648568,54.6398724460428,N00004213,95XX11S2,350637,379357,57.6779,Ards and North Down,Urban,Conlig_2,337,780,571,217,214,1363,3683,799,"1"
-5.6585674089356,54.6362452739437,N00004214,95XX11S3,351230,378973,8.03035,Ards and North Down,Urban,Conlig_3,311,394,790,180,400,1684,4081,324,"1"
-5.70010427057314,54.6480161507832,N00004244,95XX15W1,348506,380194,4.91069,Ards and North Down,Urban,Dufferin,243,283,498,183,418,1964,2936,684,"1"
-5.69909234562381,54.650898715015,N00004248,95XX15W1,348561,380517,7.22734,Ards and North Down,Urban,Dufferin,349,334,466,409,610,2559,3200,520,"1"
-5.69662276398146,54.6497631172516,N00004251,95XX15W1,348724,380396,6.25648,Ards and North Down,Urban,Dufferin,292,312,404,558,416,2317,3626,244,"1"
-5.68266345541917,54.6526576656107,N00004315,95XX23W1,349614,380748,4.3713,Ards and North Down,Urban,Silverstream,439,341,819,1217,335,3977,671,170,"1"
-5.6715761099309,54.6493393780962,N00004334,95XX25W1,350342,380402,4.12936,Ards and North Down,Urban,Whitehill,323,147,500,728,704,2412,4284,578,"1"
-5.67281464921147,54.6482162915505,N00004336,95XX25W1,350266,380274,3.42184,Ards and North Down,Urban,Whitehill,431,228,854,636,305,3275,4041,1421,"1"
-7.30114346551758,54.598606324117,N00004361,95YY05W1,245218,372487,37.1926,Fermanagh and Omagh,Urban,Dergmoney,313,855,243,312,945,3123,212,185,"1"
-7.29419713077039,54.6010861006,N00004378,95YY09W1,245664,372767,8.38437,Fermanagh and Omagh,Urban,Drumragh,321,429,343,490,1220,3998,196,108,"1"
-7.30593018345334,54.5034233038528,N00004392,95YY11W1,245013,361888,166.717,Fermanagh and Omagh,Rural,Fintona,256,74,316,697,2164,1222,2539,1066,"1"
-7.31705678112127,54.4983865337241,N00004394,95YY11W1,244298,361321,9.72872,Fermanagh and Omagh,Rural,Fintona,260,1072,140,120,1400,1847,466,373,"1"
-7.2799922165887,54.6098966617992,N00004406,95YY14S1,246572,373758,12.3814,Fermanagh and Omagh,Urban,Killyclogher_1,131,145,313,97,597,1577,2934,660,"1"
-7.29813878742984,54.6039695204701,N00004414,95YY15S1,245406,373086,54.9966,Fermanagh and Omagh,Urban,Lisanelly_1,212,29,367,1121,1591,3458,41,1018,"1"
-7.30947760427804,54.6111230598351,N00004415,95YY15S2,244665,373875,67.7413,Fermanagh and Omagh,Urban,Lisanelly_2,340,786,369,147,713,2133,1684,526,"1"
-7.30672110596978,54.6017976733924,N00004432,95YY19W1,244854,372839,12.0275,Fermanagh and Omagh,Urban,Strule,66,397,18,36,642,3377,477,390,"1"
-7.45857757458112,54.819721904944,N00004453,95ZZ02W1,234852,397012,15.9659,Derry City and Strabane,Urban,Ballycolman,112,46,162,327,598,3168,2929,1132,"1"
-7.46110955508671,54.816997718503,N00004454,95ZZ02W1,234692,396707,11.45,Derry City and Strabane,Urban,Ballycolman,234,352,287,220,525,2260,3237,478,"1"
-7.46134727196053,54.8193793402733,N00004456,95ZZ02W1,234675,396972,4.98734,Derry City and Strabane,Urban,Ballycolman,217,367,155,240,351,3309,3675,1644,"1"
-7.30694017521139,54.8675439599996,N00004470,95ZZ05W1,244547,402421,71.8228,Derry City and Strabane,Rural,Dunnamanagh,410,1050,239,353,596,975,3449,2905,"1"
-7.46344437420071,54.8231458374712,N00004474,95ZZ06W1,234537,397391,26.4123,Derry City and Strabane,Urban,East,156,191,160,560,487,2999,816,301,"1"
-7.45128986652946,54.8223027228525,N00004475,95ZZ06W1,235319,397303,9.13771,Derry City and Strabane,Urban,East,4,45,9,52,26,2296,1114,579,"1"
-7.45143320225949,54.8189357182601,N00004476,95ZZ06W1,235312,396928,33.3461,Derry City and Strabane,Urban,East,90,102,144,446,247,2726,764,930,"1"
-7.44973407890524,54.8178512909392,N00004477,95ZZ06W1,235422,396808,19.9768,Derry City and Strabane,Urban,East,64,88,54,480,175,1791,2417,1336,"1"
-7.49787562468167,54.7863770275537,N00004483,95ZZ07W1,232353,393281,37.7154,Derry City and Strabane,Rural,Finn,122,224,202,675,104,994,707,3356,"1"
-7.60041242143435,54.7096733391437,N00004486,95ZZ08W1,225805,384700,32.1448,Derry City and Strabane,Rural,Glenderg,188,263,245,236,381,1971,3267,1317,"1"
-7.66905597083026,54.7207112991802,N00004487,95ZZ08W1,221374,385905,2018.37,Derry City and Strabane,Rural,Glenderg,390,95,1376,1596,1837,19,1269,4337,"1"
-7.38220132423579,54.7174526665748,N00004495,95ZZ09W1,239862,385668,5.60654,Derry City and Strabane,Rural,Newtownstewart,314,779,207,548,386,1279,2134,1267,"1"
-7.47108730222314,54.830776618864,N00004497,95ZZ10W1,234039,398236,65.9703,Derry City and Strabane,Urban,North,393,845,418,390,1168,3468,229,11,"1"
-7.4582257735599,54.8265486200224,N00004499,95ZZ10W1,234869,397772,9.00731,Derry City and Strabane,Urban,North,141,234,41,281,794,3098,3666,1501,"1"
-7.46234366762276,54.8263290232717,N00004500,95ZZ10W1,234605,397745,14.2906,Derry City and Strabane,Urban,North,26,48,22,478,763,3786,27,12,"1"
-7.47390470595675,54.7844821370963,N00004511,95ZZ12W1,233897,393081,2.92898,Derry City and Strabane,Rural,Sion Mills,223,80,471,1038,719,2405,140,840,"1"
-7.47625129942091,54.8213065856356,N00004537,95ZZ16S2,233715,397180,6.97795,Derry City and Strabane,Urban,West_2,43,168,17,238,344,2882,1071,191,"1"
